file,contrast_Lc,contrast_status,clarity_score,clarity_status,overall_status
sample_121.jpg,0.0,fail,9.6,fail,fail
sample_122.jpg,0.0,fail,0.0,fail,fail
sample_123.jpg,0.0,fail,63.79,pass,fail
sample_124.jpg,0.0,fail,0.0,fail,fail
sample_125.jpg,0.0,fail,58.08,pass,fail
sample_126.jpg,0.0,fail,63.62,pass,fail
sample_127.jpg,0.0,fail,20.7,fail,fail
sample_128.jpg,35.47,pass,1.54,fail,fail
sample_129.jpg,48.61,pass,1.43,fail,fail
sample_130.jpg,0.0,fail,0.0,fail,fail
sample_131.jpg,24.12,fail,1.09,fail,fail
sample_132.jpg,0.0,fail,63.81,pass,fail
sample_133.jpg,43.7,pass,1.22,fail,fail
sample_134.jpg,21.34,fail,61.9,pass,fail
sample_135.jpg,0.0,fail,0.0,fail,fail
sample_136.jpg,14.54,fail,65.18,pass,fail
sample_137.jpg,0.0,fail,0.0,fail,fail
sample_138.jpg,0.0,fail,0.0,fail,fail
sample_139.jpg,35.63,pass,0.0,fail,fail
sample_140.jpg,0.0,fail,0.0,fail,fail
sample_141.jpg,34.08,pass,52.52,pass,pass
sample_142.jpg,13.06,fail,63.75,pass,fail
sample_143.jpg,0.0,fail,63.93,pass,fail
sample_144.jpg,0.0,fail,0.0,fail,fail
sample_145.jpg,19.76,fail,0.76,fail,fail
sample_146.jpg,0.0,fail,0.0,fail,fail
sample_147.jpg,10.45,fail,67.5,pass,fail
sample_148.jpg,0.0,fail,83.37,pass,fail
sample_149.jpg,0.0,fail,0.0,fail,fail
sample_150.jpg,0.0,fail,0.0,fail,fail
sample_151.jpg,0.0,fail,77.32,pass,fail
sample_152.jpg,0.0,fail,63.66,pass,fail
sample_153.jpg,0.0,fail,68.0,pass,fail
sample_154.jpg,0.0,fail,63.42,pass,fail
sample_155.jpg,0.0,fail,0.0,fail,fail
sample_156.jpg,0.0,fail,0.0,fail,fail
sample_157.jpg,41.52,pass,13.26,fail,fail
sample_158.jpg,0.0,fail,0.0,fail,fail
sample_159.jpg,7.77,fail,1.86,fail,fail
sample_160.jpg,0.0,fail,0.0,fail,fail
sample_161.jpg,0.0,fail,0.15,fail,fail
sample_162.jpg,0.0,fail,67.13,pass,fail
sample_163.jpg,0.0,fail,62.39,pass,fail
sample_164.jpg,30.83,pass,26.83,fail,fail
sample_165.jpg,0.0,fail,0.0,fail,fail
sample_166.jpg,2.45,fail,0.0,fail,fail
sample_167.jpg,0.0,fail,0.0,fail,fail
sample_168.jpg,0.0,fail,20.07,fail,fail
sample_169.jpg,0.0,fail,0.0,fail,fail
sample_170.jpg,0.0,fail,0.0,fail,fail
sample_171.jpg,0.0,fail,0.0,fail,fail
sample_172.jpg,0.0,fail,0.0,fail,fail
sample_173.jpg,0.0,fail,61.56,pass,fail
sample_174.jpg,39.18,pass,1.03,fail,fail
sample_175.jpg,3.65,fail,0.0,fail,fail
sample_176.jpg,0.0,fail,0.0,fail,fail
sample_177.jpg,0.0,fail,45.12,pass,fail
sample_178.jpg,0.0,fail,0.0,fail,fail
sample_179.jpg,21.83,fail,69.01,pass,fail
sample_180.jpg,0.0,fail,0.0,fail,fail
sample_181.jpg,15.43,fail,0.33,fail,fail
sample_182.jpg,0.0,fail,64.15,pass,fail
sample_183.jpg,-0.97,fail,0.0,fail,fail
sample_184.jpg,31.31,pass,1.09,fail,fail
sample_185.jpg,35.27,pass,5.65,fail,fail
sample_186.jpg,1.23,fail,0.0,fail,fail
sample_187.jpg,0.0,fail,0.0,fail,fail
sample_188.jpg,41.18,pass,5.19,fail,fail
sample_189.jpg,44.25,pass,0.36,fail,fail
sample_190.jpg,0.0,fail,0.0,fail,fail
sample_191.jpg,17.5,fail,3.08,fail,fail
sample_192.jpg,0.0,fail,64.1,pass,fail
sample_193.jpg,26.73,pass,19.2,fail,fail
sample_194.jpg,51.4,pass,72.48,pass,pass
sample_195.jpg,0.0,fail,62.3,pass,fail
sample_196.jpg,17.73,fail,0.0,fail,fail
sample_197.jpg,34.85,pass,1.03,fail,fail
sample_198.jpg,0.0,fail,63.96,pass,fail
sample_199.jpg,0.0,fail,0.0,fail,fail
sample_200.jpg,24.69,fail,12.98,fail,fail
sample_201.jpg,0.0,fail,0.0,fail,fail
sample_202.jpg,0.0,fail,0.0,fail,fail
sample_203.jpg,0.0,fail,0.0,fail,fail
sample_204.jpg,0.0,fail,64.12,pass,fail
sample_205.jpg,0.0,fail,0.0,fail,fail
sample_206.jpg,26.26,pass,0.0,fail,fail
sample_207.jpg,0.0,fail,0.05,fail,fail
sample_208.jpg,0.0,fail,22.98,fail,fail
sample_209.jpg,0.0,fail,0.0,fail,fail
sample_210.jpg,0.0,fail,0.0,fail,fail
sample_211.jpg,0.0,fail,0.0,fail,fail
